product_feature_value_id,feature_value_id
9745400a-990f-492f-89f8-4d4980eeb996,9f6d5b2b-ac1c-4cc3-a7d1-7cedf98b7563
4e0fff6f-5cf2-445a-9881-d1416ea7b229,52d84173-882a-48bc-98c2-da35a45c13c1
501b200b-9bfe-4a9a-9ac9-309939e2dc6b,02257903-92fa-4ef4-8ba7-12758b989472
177a6993-a851-471e-882f-594f15d9e3cc,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
177a6993-a851-471e-882f-594f15d9e3cc,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
177a6993-a851-471e-882f-594f15d9e3cc,5115a7f4-c481-4f49-bf54-506badb69a95
177a6993-a851-471e-882f-594f15d9e3cc,1fa3719f-7f49-43d3-9416-c38e10968ac8
177a6993-a851-471e-882f-594f15d9e3cc,1f33d527-6045-4358-afd9-602ae8644b43
a616c694-5f00-44ba-9aa3-433eaa34f932,d4dbb265-4812-4b6c-a0fd-bab873e1106b
7088ea1e-56e8-41f3-bab1-2ca1a92b0154,207fe291-5f03-43cd-b528-0e897e3a3159
e1761dbe-82ec-42e2-bafe-d49bfccefc31,8d82500d-abce-4859-889f-991e369704e8
87ac62ca-570c-4635-adee-d142b75e9d0a,1f33d527-6045-4358-afd9-602ae8644b43
fb3fcd0a-6ba9-438a-ba1c-b29a52aaec79,6ca59447-c208-40e3-ab57-7edb01549cbf
218c5cb6-c086-475e-b84d-4a1304289163,ae92de86-1329-4de8-bbcc-f478e9f8628b
218c5cb6-c086-475e-b84d-4a1304289163,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
218c5cb6-c086-475e-b84d-4a1304289163,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
218c5cb6-c086-475e-b84d-4a1304289163,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
be474d1c-bf62-427a-8da3-e0a5518342de,6ca59447-c208-40e3-ab57-7edb01549cbf
17d8b3e2-15f4-4411-b038-ebd8403da9fe,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
17d8b3e2-15f4-4411-b038-ebd8403da9fe,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
02799932-182f-435b-8467-6df7fd5bf88b,6ca59447-c208-40e3-ab57-7edb01549cbf
618301de-b753-4b22-bdd0-5306c0ba2a4d,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
618301de-b753-4b22-bdd0-5306c0ba2a4d,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
618301de-b753-4b22-bdd0-5306c0ba2a4d,72f27659-ea6c-40a3-9f2d-dfe7d82c853b
e048f8c5-d1ca-433d-ae14-d821abb23b8f,6ca59447-c208-40e3-ab57-7edb01549cbf
e00870e3-7bf9-44b9-b56e-e47a663e8ac4,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
e00870e3-7bf9-44b9-b56e-e47a663e8ac4,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
8dcfe904-d824-4554-896a-d66110e242a1,6ca59447-c208-40e3-ab57-7edb01549cbf
96e163ec-ea2b-498b-8d16-50bb94db3dac,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
96e163ec-ea2b-498b-8d16-50bb94db3dac,f137d46d-5bac-404d-bfc9-d9fb8fc8a734
087b169a-3b17-411f-b7e0-2aa8f24effaf,0d262eed-551e-45d0-983c-bca05eabe980
6684fe33-bca1-4152-85e7-b52d537ab02d,21d8739d-25f6-48b7-a909-14d59848db24
717f4a29-5455-42d0-bd14-4bfa22701ea9,6bdd587c-344f-4fb7-b1c6-d48b8b15a2d1
edfbebf6-503c-43d0-a6fa-c8e072185eaf,1f33d527-6045-4358-afd9-602ae8644b43
edfbebf6-503c-43d0-a6fa-c8e072185eaf,d89699f6-85db-4def-8de6-14cb07eb2c43
edfbebf6-503c-43d0-a6fa-c8e072185eaf,c9f904db-1282-4b70-a753-596160a1136a
dcea16fd-aff4-494f-8194-2b1a9b4b51cd,2de89f91-6ef4-43e4-873b-ccf2b1bbfb52
dcea16fd-aff4-494f-8194-2b1a9b4b51cd,1fa3719f-7f49-43d3-9416-c38e10968ac8
dcea16fd-aff4-494f-8194-2b1a9b4b51cd,d89699f6-85db-4def-8de6-14cb07eb2c43
b8cc9d15-19a4-4158-b2dc-612cf555b17e,6ca59447-c208-40e3-ab57-7edb01549cbf
29cb6bdb-1c7c-4b77-a2a8-90f4c0bd9bc6,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
29cb6bdb-1c7c-4b77-a2a8-90f4c0bd9bc6,ae92de86-1329-4de8-bbcc-f478e9f8628b
5bfb00fb-d18a-49ce-bf24-568654b04cd4,2407e3fc-726a-44f3-8344-0d8da811e1b8
43b0ea36-daf7-4ebf-9184-d57b80541cd8,e5c050af-918f-4377-8516-d61383dd7eeb
5463e6bb-1269-46d6-99a6-0968a060e652,3bf75b18-e479-43ff-b40e-b33f5996a5c4
68472b87-8a7e-463e-881c-d906cd2fb84f,3b16b9a9-28b5-4421-a419-f2c0a580a622
0b8a5a47-60a2-4f3c-9f26-d470530ea32a,05189b57-cd02-4472-9e21-bd3b54ab5dd6
64051aa5-3ebd-4cee-915f-0dc53a1613ee,b41e3b3e-d27b-4705-b8c7-592b89508e12
c9d2f0ba-be39-4e8d-afcb-d75db6234b2f,6e7ec579-d5fc-41c8-82f1-649532a23cb4
c9d2f0ba-be39-4e8d-afcb-d75db6234b2f,9e87af73-6ec7-473e-86b9-93fc8311efba
b5a836b0-3635-41df-b440-02b7c1fc4b2a,ac2f7cb8-fe85-4eec-9dbd-11aab73b200d
6cfbf40b-6b04-492c-9315-960dbbfec80f,40193610-2542-4d28-a63f-078467cb7f0a
c000f1fe-0cb3-4370-b6ad-c98b15e7d600,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
c000f1fe-0cb3-4370-b6ad-c98b15e7d600,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
c000f1fe-0cb3-4370-b6ad-c98b15e7d600,1f33d527-6045-4358-afd9-602ae8644b43
6f9af591-965a-4c33-85d8-1726d36b4de5,c28dbac1-24bb-4e49-8ccc-6360d439be7d
b005b72c-3376-47fa-9019-4fbe4af299e0,1fad2edd-83ee-4028-b2a6-4664d26552cd
45c9de69-fb90-4de6-9176-29c3c1353d9d,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
45c9de69-fb90-4de6-9176-29c3c1353d9d,fc1941db-1098-4bd5-a9c7-d9fe8b94172d
70e1db11-f669-417e-829f-4f38cb217007,d89699f6-85db-4def-8de6-14cb07eb2c43
70e1db11-f669-417e-829f-4f38cb217007,6e7ec579-d5fc-41c8-82f1-649532a23cb4
8b531447-e784-49b3-a4bc-23f055b2c125,03361f27-53e9-4b05-8323-5824a02f071a
f43fa527-2951-496b-aaf9-ef8e00e72d37,d89699f6-85db-4def-8de6-14cb07eb2c43
f43fa527-2951-496b-aaf9-ef8e00e72d37,1f33d527-6045-4358-afd9-602ae8644b43
feadd7ae-1518-42e5-8457-05ae942d40bc,3b16b9a9-28b5-4421-a419-f2c0a580a622
1b187837-3258-428b-8f5a-074afb21871c,2baf988b-c09f-420d-b2f1-07c3f3cb565b
36c05086-7d0b-4f21-8bce-776422a6592f,20bc1485-d0c4-4b2b-b0b4-c282c203431a
392dd3e7-1b0b-4364-a4eb-beffaadbe7e3,69b294ca-7d15-4303-9762-216ec08f824e
0882f692-c969-4ad9-87d7-1de2f77206b7,6ca59447-c208-40e3-ab57-7edb01549cbf
7694c197-2e7f-497a-8a68-52a52cd55c9f,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
7694c197-2e7f-497a-8a68-52a52cd55c9f,fc1941db-1098-4bd5-a9c7-d9fe8b94172d
7694c197-2e7f-497a-8a68-52a52cd55c9f,9f6d5b2b-ac1c-4cc3-a7d1-7cedf98b7563
64a2b81c-87d8-4750-9eee-ad6218be5001,6ca59447-c208-40e3-ab57-7edb01549cbf
23e5b7f6-a059-4916-a6cb-5ea50fb86c80,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
23e5b7f6-a059-4916-a6cb-5ea50fb86c80,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
d8ca3ef9-b8fb-41f3-b4c7-33dd34c8055f,6ca59447-c208-40e3-ab57-7edb01549cbf
db16cfcc-0194-405b-850a-d0a3da163333,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
db16cfcc-0194-405b-850a-d0a3da163333,ae92de86-1329-4de8-bbcc-f478e9f8628b
5ddaf977-f81c-405b-ba13-59e1b21deb3c,89816960-209a-4338-98c2-15cd395dd76b
3e33cbc2-3a76-4121-ab67-2c45aec89144,46d4a1d1-c057-49ba-a879-db85b0cda4b9
8b97bab8-dfdd-4ba9-acec-1401b9fe815b,3b16b9a9-28b5-4421-a419-f2c0a580a622
f685c601-2aee-4b99-8ade-db0368e585b9,1f33d527-6045-4358-afd9-602ae8644b43
7b55309d-4325-4a09-84ce-0996ccef9b6d,3b16b9a9-28b5-4421-a419-f2c0a580a622
c265c533-b066-426d-affb-ceefab201e4c,6ca59447-c208-40e3-ab57-7edb01549cbf
3dac36bc-3343-4964-8d2a-3d94627a60a1,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
3dac36bc-3343-4964-8d2a-3d94627a60a1,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
87e31457-ed11-4382-933b-9524d02255fc,c0616b1c-7741-4f55-9da3-7b115b34481c
ea4f40ef-a8b2-4848-a678-8383158341ad,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
ea4f40ef-a8b2-4848-a678-8383158341ad,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
210b401d-2fc6-448d-8b33-94745490cc58,c0616b1c-7741-4f55-9da3-7b115b34481c
daae74a5-8a9b-42e3-9594-91d50c62cd77,52796119-3d9a-42c7-bbf9-82061c9bb95d
b562513e-09ed-4639-a6d3-160062ecb873,0d89cd97-9e1b-4cb3-89fc-6773540db9e8
36a2a42c-6250-4296-baff-2a9bce649fea,5fc091c1-fa87-45b5-878f-8deb38c39f5e
f2bccc54-6e02-439e-9764-e302a6bff72f,1f33d527-6045-4358-afd9-602ae8644b43
744819f6-c0b9-407d-b889-531570726730,6ca59447-c208-40e3-ab57-7edb01549cbf
60e3fa21-663c-4b5f-afdc-ad3de853ec68,f137d46d-5bac-404d-bfc9-d9fb8fc8a734
cca8c692-15fe-48c4-8f2c-b743166df97b,6ca59447-c208-40e3-ab57-7edb01549cbf
a2c22bbf-5203-47c6-8491-99dfa9c5ef0f,41d62f31-a92e-4ff2-9981-41f3cf46ebeb
a2c22bbf-5203-47c6-8491-99dfa9c5ef0f,1fa3719f-7f49-43d3-9416-c38e10968ac8
a2c22bbf-5203-47c6-8491-99dfa9c5ef0f,a02e22cb-d235-4e41-99c0-73d63c06157e
d1e9f535-3186-48a7-b473-f4c6009e3d02,6ca59447-c208-40e3-ab57-7edb01549cbf
