id,name,origin,number
b0dccece-d204-490b-b868-a2878275e40d,BRAND140,NO_MAINSTREAM,0
e3e1f893-b7c1-4f90-a5b9-7478ce66d757,BRAND141,NO_MAINSTREAM,0
e4c97e4e-1141-497f-b38c-3b7c0cae9ec4,BRAND142,MAINSTREAM,0
e6b1b7ee-3782-4abd-b0f7-72fdd79ceb7f,BRAND143,OWN_PRODUCTION,0
e7d3ebfe-6f9f-4d28-b3b4-96b4875b2af3,BRAND145,NO_MAINSTREAM,0
e8fa374f-2d28-4935-baac-4aef08a511e7,BRAND146,NO_MAINSTREAM,0
01009d0a-8f37-4d4f-be76-98a291b37def,BRAND147,NO_MAINSTREAM,0
f0013021-4017-40d4-8107-ca1946bd5d0a,BRAND148,NO_MAINSTREAM,0
f433b88b-611c-4641-bb56-60325f504dad,BRAND149,MAINSTREAM,0
f55a7823-4b84-4ca2-b24f-4945f2f27ca9,BRAND150,MAINSTREAM,0
f620512a-1e55-4c69-8208-9c83ed4725a5,BRAND151,NO_MAINSTREAM,0
f66308ed-5556-4469-a729-517b619fac5a,BRAND152,NO_MAINSTREAM,0
f8388ff2-6f70-4ae2-ab7e-2857663444a7,BRAND153,MAINSTREAM,0
fcc1f3f0-5b41-4933-8f96-b00d741980f9,BRAND156,NO_MAINSTREAM,0
ff436f5f-57aa-45bb-badc-c4063c6a022f,BRAND157,OWN_PRODUCTION,0
ab95a726-f520-4428-bf42-44f8c5722fda,BRAND158,NO_MAINSTREAM,0
592412c5-4355-40b7-837b-b8b229ed11e8,BRAND159,NO_MAINSTREAM,0
b3564635-d061-4d68-b956-9306e2d70794,BRAND160,NO_MAINSTREAM,0
72080cba-8970-4386-9a07-e896ed44d999,BRAND161,NO_MAINSTREAM,0
61397b80-34cc-4af1-93e7-54101a3e9d3a,BRAND162,NO_MAINSTREAM,0
5a9ca2a1-b909-4a25-ba92-51793e42b8be,BRAND163,NO_MAINSTREAM,0
6baa0e97-2a91-43cf-843f-bbac6e5ed509,BRAND164,WHOLE_SALE,0
a255572f-5a7a-49fc-87de-227acbe413a0,BRAND165,WHOLE_SALE,0
dd17f8ec-1667-4ebc-86cb-b2398a8cbbfa,BRAND166,NO_MAINSTREAM,0
a1f8d89e-04ed-42a9-8c51-dc04cbdd0d18,BRAND167,OWN_PRODUCTION,0
21ac889e-d515-417f-961c-5497e0d3c58e,BRAND168,NO_MAINSTREAM,0
51feeb05-f169-4dca-8fe3-4f0968ad088c,BRAND169,WHOLE_SALE,0
2a50cb28-0dfb-4689-8c67-4d5149959a2b,BRAND170,PREMIUM,0
47972e90-e80a-4472-9396-f6d2b69fb7b8,BRAND171,PREMIUM,0
890bd5dd-a9f8-4879-828c-919843a0be89,BRAND172,PREMIUM,0
ab1f5213-03fc-4553-b77c-13b2c6213d27,BRAND173,PREMIUM,0
dd7382b1-6d80-4e80-b3fe-ab0eb0947c4e,BRAND174,PREMIUM,0
ec11ed99-81c3-4684-accc-93e6d85fba97,BRAND175,PREMIUM,0
85e3fe9e-8f5c-4762-9523-467ac908b8c6,BRAND176,PREMIUM,0
